Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Mean,Bwd Pkt Len Max,Bwd Pkt Len Mean,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Fwd IAT Mean,Bwd IAT Mean,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,Pkt Len Var,Active Mean,Idle Mean,TTL Mean,TTL Std,Win Size Mean,Win Size Min,Frag Count,Payload Len Mean,Payload Len Std,Retrans Count,Dst Port,Protocol,Timestamp,Src IP,Dst IP
32997595.071792603,32,32,2112.0,2112.0,66.0,66.0,66.0,66.0,128.00932888623782,1.9395352861551187,523771.3503459143,470289.59894435003,1008072.8530883789,1062843.676536314,1062112.5467361943,0,0,0,0,64,0.0,60970.209538936615,1001501.5602111816,58.0,6.0,38.5,19.0,0,0.0,0.0,0,443,6,15/09/2026 11:36:11,10.50.45.35,160.79.104.10
31504853.010177612,5,6,456.0,510.0,108.0,91.2,104.0,85.0,30.661942770783114,0.34915255743127765,3150485.301017761,6909329.5299710445,22473373.889923096,7862492.978572845,6291979.789733887,0,0,0,6,11,398.87603305785126,193196.69405619302,15462631.464004517,57.45454545454545,5.97515517278363,36.27272727272727,19.0,0,21.818181818181817,19.971881059576017,0,443,6,15/09/2026 11:36:12,10.50.45.35,104.16.103.112
36098.95706176758,1,1,79.0,173.0,79.0,79.0,173.0,173.0,6980.811095700416,55.40326266428902,36098.95706176758,0.0,36098.95706176758,0.0,0.0,0,0,0,0,0,2209.0,36098.95706176758,0.0,64.0,0.0,0.0,0.0,0,0.0,0.0,0,53,17,15/09/2026 11:36:14,10.50.45.35,10.50.45.48
11032.1044921875,1,1,79.0,159.0,79.0,79.0,159.0,159.0,21573.399723374827,181.28907330567083,11032.1044921875,0.0,11032.1044921875,0.0,0.0,0,0,0,0,0,1600.0,11032.1044921875,0.0,64.0,0.0,0.0,0.0,0,0.0,0.0,0,53,17,15/09/2026 11:36:14,10.50.45.35,10.50.45.48
10952.949523925781,1,1,79.0,163.0,79.0,79.0,163.0,163.0,22094.50518067044,182.59921636917719,10952.949523925781,0.0,10952.949523925781,0.0,0.0,0,0,0,0,0,1764.0,10952.949523925781,0.0,64.0,0.0,0.0,0.0,0,0.0,0.0,0,53,17,15/09/2026 11:36:14,10.50.45.35,10.50.45.48
45271.15821838379,1,1,90.0,90.0,90.0,90.0,90.0,90.0,3976.041415412811,44.178237949031235,45271.15821838379,0.0,45271.15821838379,0.0,0.0,0,0,0,0,0,0.0,45271.15821838379,0.0,58.0,6.0,0.0,0.0,0,0.0,0.0,0,123,17,15/09/2026 11:36:18,10.50.45.35,162.159.200.1
1331798.0766296387,7,6,582.0,932.0,170.0,83.14285714285714,401.0,155.33333333333334,1136.808970194233,9.761239506291302,110983.1730524699,284447.75662517094,1024080.0380706787,221952.00125376382,8965.015411376953,2,4,0,3,11,9570.710059171597,307718.03855895996,1024080.0380706787,64.0,0.0,20120.30769230769,64.0,0,48.0,98.96153098747318,2,8080,6,15/09/2026 11:36:27,10.50.45.103,10.50.45.35
48424.00550842285,5,5,424.0,858.0,152.0,84.8,401.0,171.6,26474.472455134044,206.50914551586618,5380.445056491428,8747.618407742173,26531.93473815918,12078.22561264038,12089.788913726807,2,2,0,3,9,11528.560000000001,48424.00550842285,0.0,64.0,0.0,13166.2,64.0,0,60.6,108.22310289397547,0,4444,6,15/09/2026 11:36:28,10.50.45.103,10.50.45.35
85510.0154876709,4,2,272.0,140.0,74.0,68.0,74.0,70.0,4818.149051316725,70.1672191939329,17102.00309753418,29013.148095888748,74894.18983459473,28503.3384958903,10545.969009399414,2,2,0,0,5,14.222222222222223,85510.0154876709,0.0,64.0,0.0,21828.333333333332,64.0,0,0.0,0.0,0,4444,6,15/09/2026 11:36:28,10.50.45.103,10.50.45.35
35.04753112792969,1,1,74.0,54.0,74.0,74.0,54.0,54.0,128000.0,2000.0,35.04753112792969,0.0,35.04753112792969,0.0,0.0,0,1,1,0,1,100.0,35.04753112792969,0.0,64.0,0.0,32120.0,0.0,0,0.0,0.0,0,4445,6,15/09/2026 11:36:28,10.50.45.103,10.50.45.35
12926.101684570312,5,5,442.0,858.0,170.0,88.4,401.0,171.6,100571.69839161872,773.6284491662977,1436.2335205078125,1995.3820468776357,5204.916000366211,3213.52481842041,3217.756748199463,2,2,0,3,9,11643.4,12926.101684570312,0.0,64.0,0.0,13166.2,64.0,0,62.4,108.77885824000911,0,8080,6,15/09/2026 11:36:30,10.50.45.103,10.50.45.35
12875.080108642578,5,5,424.0,858.0,152.0,84.8,401.0,171.6,99572.195992741,776.6941965112403,1430.564456515842,2052.29066671247,5198.001861572266,3204.464912414551,3208.756446838379,2,2,0,3,9,11528.560000000001,12875.080108642578,0.0,64.0,0.0,13166.2,64.0,0,60.6,108.22310289397547,0,4444,6,15/09/2026 11:36:30,10.50.45.103,10.50.45.35
11546.850204467773,4,2,272.0,140.0,74.0,68.0,74.0,70.0,35680.72614647643,519.6222254341228,2309.3700408935547,1964.5127292992183,4865.169525146484,3848.9500681559243,7292.985916137695,2,2,0,0,5,14.222222222222223,11546.850204467773,0.0,64.0,0.0,21828.333333333332,64.0,0,0.0,0.0,0,4444,6,15/09/2026 11:36:30,10.50.45.103,10.50.45.35
41.961669921875,1,1,74.0,54.0,74.0,74.0,54.0,54.0,128000.0,2000.0,41.961669921875,0.0,41.961669921875,0.0,0.0,0,1,1,0,1,100.0,41.961669921875,0.0,64.0,0.0,32120.0,0.0,0,0.0,0.0,0,4445,6,15/09/2026 11:36:30,10.50.45.103,10.50.45.35
17205.95359802246,5,5,442.0,858.0,170.0,88.4,401.0,171.6,75555.2427009575,581.19417462275,1911.7726220024956,2535.853855819436,7187.843322753906,4279.732704162598,4282.474517822266,2,2,0,3,9,11643.4,17205.95359802246,0.0,64.0,0.0,13166.2,64.0,0,62.4,108.77885824000911,0,8080,6,15/09/2026 11:36:33,10.50.45.103,10.50.45.35
14140.844345092773,5,5,424.0,858.0,152.0,84.8,401.0,171.6,90659.36720001348,707.1713510141458,1571.2049272325303,2394.6591555948885,6073.951721191406,3515.958786010742,3514.4686698913574,2,2,0,3,9,11528.560000000001,14140.844345092773,0.0,64.0,0.0,13166.2,64.0,0,60.6,108.22310289397547,0,4444,6,15/09/2026 11:36:33,10.50.45.103,10.50.45.35
13019.084930419922,4,2,272.0,140.0,74.0,68.0,74.0,70.0,31645.84932058748,460.86188330952643,2603.8169860839844,2159.1601824810173,5429.983139038086,4339.694976806641,8450.984954833984,2,2,0,0,5,14.222222222222223,13019.084930419922,0.0,64.0,0.0,21828.333333333332,64.0,0,0.0,0.0,0,4444,6,15/09/2026 11:36:33,10.50.45.103,10.50.45.35
64.849853515625,1,1,74.0,54.0,74.0,74.0,54.0,54.0,128000.0,2000.0,64.849853515625,0.0,64.849853515625,0.0,0.0,0,1,1,0,1,100.0,64.849853515625,0.0,64.0,0.0,32120.0,0.0,0,0.0,0.0,0,4445,6,15/09/2026 11:36:33,10.50.45.103,10.50.45.35
